Ticket_ID,Order_Timestamp,Location,Item_Sold,Quantity,Unit_Cost,Unit_Price,Total_Revenue,Total_Cost,Gross_Profit,Actual_Prep_Time_Min,Target_Prep_Time_Min,Time_Variance,Is_Late
TKT-000026,2026-02-27 12:44:00,"Viman Nagar, Pune",Spicy Miso Ramen,1,180,450,450,180,270,15,12,3,No
TKT-000027,2026-01-22 22:35:00,"Ravet, Pune",Premium Maharaja Thali,1,250,600,600,250,350,30,20,10,Yes
TKT-000028,2026-03-30 22:55:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,25,15,10,Yes
TKT-000029,2026-02-18 16:03:00,"Koregaon Park, Pune",Premium Maharaja Thali,2,250,600,1200,500,700,21,20,1,No
TKT-000030,2026-02-28 21:45:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,34,20,14,Yes
TKT-000031,2026-06-19 19:36:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,25,15,10,Yes
TKT-000032,2026-01-15 21:41:00,"Ravet, Pune",Premium Maharaja Thali,1,250,600,600,250,350,26,20,6,Yes
TKT-000033,2026-06-24 15:16:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,15,12,3,No
TKT-000034,2026-02-20 21:05:00,"Koregaon Park, Pune",Berry Iced Tea,2,40,180,360,80,280,15,5,10,Yes
TKT-000035,2026-04-18 12:36:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,7,5,2,No
TKT-000036,2026-02-24 22:58:00,"Ravet, Pune",Premium Maharaja Thali,1,250,600,600,250,350,32,20,12,Yes
TKT-000037,2026-03-05 20:34:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,9,5,4,No
TKT-000038,2026-05-11 15:51:00,"Ravet, Pune",Premium Maharaja Thali,1,250,600,600,250,350,23,20,3,No
TKT-000039,2026-02-20 18:39:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,17,15,2,No
TKT-000040,2026-05-15 22:32:00,"Ravet, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,7,5,2,No
TKT-000041,2026-01-21 17:05:00,"Ravet, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,18,20,-2,No
TKT-000042,2026-03-14 16:39:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,5,5,0,No
TKT-000043,2026-06-16 19:02:00,"Koregaon Park, Pune",Spicy Miso Ramen,2,180,450,900,360,540,17,12,5,No
TKT-000044,2026-01-18 19:58:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,29,15,14,Yes
TKT-000045,2026-05-12 20:46:00,"Viman Nagar, Pune",Berry Iced Tea,3,40,180,540,120,420,19,5,14,Yes
TKT-000046,2026-03-30 12:05:00,"Koregaon Park, Pune",Premium Maharaja Thali,4,250,600,2400,1000,1400,22,20,2,No
TKT-000047,2026-03-01 12:41:00,"FC Road, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,19,20,-1,No
TKT-000048,2026-01-14 20:47:00,"FC Road, Pune",Spicy Miso Ramen,3,180,450,1350,540,810,16,12,4,No
TKT-000049,2026-01-09 11:41:00,"FC Road, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,13,15,-2,No
TKT-000050,2026-03-31 22:31:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,3,30,120,360,90,270,11,5,6,Yes
TKT-000051,2026-02-22 20:04:00,"FC Road, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,28,15,13,Yes
TKT-000052,2026-05-10 21:31:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,22,12,10,Yes
TKT-000053,2026-03-25 11:59:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,6,5,1,No
TKT-000054,2026-04-02 19:29:00,"FC Road, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,10,5,5,No
TKT-000055,2026-04-21 13:12:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,23,20,3,No
TKT-000056,2026-06-21 22:17:00,"Koregaon Park, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,26,20,6,Yes
TKT-000057,2026-01-08 11:32:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,13,15,-2,No
TKT-000058,2026-06-24 14:16:00,"Ravet, Pune",Irani Chai & Bun Maska,3,30,120,360,90,270,4,5,-1,No
TKT-000059,2026-02-04 22:04:00,"Viman Nagar, Pune",Premium Maharaja Thali,1,250,600,600,250,350,34,20,14,Yes
TKT-000060,2026-03-22 17:26:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,8,5,3,No
TKT-000061,2026-06-13 19:25:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,9,5,4,No
TKT-000062,2026-02-19 21:37:00,"Ravet, Pune",Berry Iced Tea,1,40,180,180,40,140,8,5,3,No
TKT-000063,2026-04-14 19:21:00,"FC Road, Pune",Premium Maharaja Thali,2,250,600,1200,500,700,30,20,10,Yes
TKT-000064,2026-05-12 22:17:00,"Koregaon Park, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,33,20,13,Yes
TKT-000065,2026-01-02 12:53:00,"Viman Nagar, Pune",Premium Maharaja Thali,1,250,600,600,250,350,19,20,-1,No
TKT-000066,2026-05-14 18:07:00,"Viman Nagar, Pune",Berry Iced Tea,2,40,180,360,80,280,5,5,0,No
TKT-000067,2026-02-23 14:08:00,"FC Road, Pune",Spicy Miso Ramen,3,180,450,1350,540,810,13,12,1,No
TKT-000068,2026-04-16 18:15:00,"Ravet, Pune",Berry Iced Tea,1,40,180,180,40,140,8,5,3,No
TKT-000069,2026-01-04 22:57:00,"Koregaon Park, Pune",Spicy Miso Ramen,2,180,450,900,360,540,24,12,12,Yes
TKT-000070,2026-02-23 20:28:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,27,15,12,Yes
TKT-000071,2026-05-26 18:45:00,"Koregaon Park, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,21,20,1,No
TKT-000072,2026-02-13 19:45:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,18,12,6,Yes
TKT-000073,2026-06-11 12:46:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,3,5,-2,No
TKT-000074,2026-01-14 20:50:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,24,12,12,Yes
TKT-000075,2026-04-05 22:18:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,19,12,7,Yes
TKT-000076,2026-02-17 20:31:00,"Ravet, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,7,5,2,No
TKT-000077,2026-01-15 19:34:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,26,15,11,Yes
TKT-000078,2026-02-09 22:06:00,"FC Road, Pune",Premium Maharaja Thali,1,250,600,600,250,350,33,20,13,Yes
TKT-000079,2026-03-23 19:09:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,12,5,7,Yes
TKT-000080,2026-04-21 16:26:00,"FC Road, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,14,15,-1,No
TKT-000081,2026-02-22 20:08:00,"Viman Nagar, Pune",Berry Iced Tea,1,40,180,180,40,140,17,5,12,Yes
TKT-000082,2026-01-24 13:36:00,"Koregaon Park, Pune",Berry Iced Tea,2,40,180,360,80,280,3,5,-2,No
TKT-000083,2026-06-03 20:55:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,21,15,6,Yes
TKT-000084,2026-05-04 21:48:00,"Ravet, Pune",Spicy Miso Ramen,2,180,450,900,360,540,25,12,13,Yes
TKT-000085,2026-02-10 20:15:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,20,15,5,No
TKT-000086,2026-06-06 22:10:00,"Viman Nagar, Pune",Berry Iced Tea,1,40,180,180,40,140,9,5,4,No
TKT-000087,2026-01-15 20:08:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,28,15,13,Yes
TKT-000088,2026-02-14 21:27:00,"Ravet, Pune",Irani Chai & Bun Maska,3,30,120,360,90,270,19,5,14,Yes
TKT-000089,2026-03-06 21:49:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,22,12,10,Yes
TKT-000090,2026-03-30 12:21:00,"Ravet, Pune",Spicy Miso Ramen,2,180,450,900,360,540,16,12,4,No
TKT-000091,2026-03-12 20:51:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,11,5,6,Yes
TKT-000092,2026-01-09 21:53:00,"Ravet, Pune",Spicy Miso Ramen,1,180,450,450,180,270,23,12,11,Yes
TKT-000093,2026-03-29 19:29:00,"Ravet, Pune",Berry Iced Tea,3,40,180,540,120,420,7,5,2,No
TKT-000094,2026-05-09 20:33:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,16,5,11,Yes
TKT-000095,2026-05-16 16:24:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,9,5,4,No
TKT-000096,2026-03-04 19:00:00,"Ravet, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,8,5,3,No
TKT-000097,2026-05-19 19:21:00,"FC Road, Pune",Irani Chai & Bun Maska,3,30,120,360,90,270,15,5,10,Yes
TKT-000098,2026-03-22 14:22:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,13,12,1,No
TKT-000099,2026-05-16 14:11:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,10,12,-2,No
TKT-000100,2026-06-12 20:27:00,"Viman Nagar, Pune",Berry Iced Tea,1,40,180,180,40,140,7,5,2,No
TKT-000101,2026-06-12 22:10:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,13,5,8,Yes
TKT-000102,2026-02-02 19:34:00,"Koregaon Park, Pune",Spicy Miso Ramen,4,180,450,1800,720,1080,16,12,4,No
TKT-000103,2026-05-03 19:34:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,15,5,10,Yes
TKT-000104,2026-01-05 11:54:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,15,15,0,No
TKT-000105,2026-02-10 21:46:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,12,5,7,Yes
TKT-000106,2026-01-28 20:09:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,25,15,10,Yes
TKT-000107,2026-05-15 19:25:00,"Koregaon Park, Pune",Berry Iced Tea,4,40,180,720,160,560,14,5,9,Yes
TKT-000108,2026-03-13 20:07:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,28,15,13,Yes
TKT-000109,2026-01-12 19:23:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,19,5,14,Yes
TKT-000110,2026-06-11 22:29:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,34,20,14,Yes
TKT-000111,2026-02-02 22:16:00,"FC Road, Pune",Berry Iced Tea,2,40,180,360,80,280,15,5,10,Yes
TKT-000112,2026-02-17 15:10:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,6,5,1,No
TKT-000113,2026-05-31 21:18:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,7,5,2,No
TKT-000114,2026-03-03 11:22:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,10,12,-2,No
TKT-000115,2026-02-06 21:00:00,"Viman Nagar, Pune",Spicy Miso Ramen,1,180,450,450,180,270,18,12,6,Yes
TKT-000116,2026-04-09 14:44:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,10,12,-2,No
TKT-000117,2026-06-21 20:03:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,9,5,4,No
TKT-000118,2026-04-14 19:08:00,"Ravet, Pune",Premium Maharaja Thali,1,250,600,600,250,350,28,20,8,Yes
TKT-000119,2026-02-04 21:51:00,"Koregaon Park, Pune",Spicy Miso Ramen,4,180,450,1800,720,1080,14,12,2,No
TKT-000120,2026-04-11 20:02:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,17,12,5,No
TKT-000121,2026-06-24 19:46:00,"Viman Nagar, Pune",Berry Iced Tea,1,40,180,180,40,140,7,5,2,No
TKT-000122,2026-05-11 22:32:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,14,5,9,Yes
TKT-000123,2026-01-01 14:03:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,8,5,3,No
TKT-000124,2026-01-05 19:40:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,20,15,5,No
TKT-000125,2026-05-22 21:27:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,10,5,5,No
TKT-000126,2026-04-13 21:50:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,19,15,4,No
TKT-000127,2026-01-27 20:16:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,27,15,12,Yes
TKT-000128,2026-05-17 19:15:00,"Ravet, Pune",Premium Maharaja Thali,4,250,600,2400,1000,1400,29,20,9,Yes
TKT-000129,2026-01-15 19:32:00,"Viman Nagar, Pune",Spicy Miso Ramen,1,180,450,450,180,270,14,12,2,No
TKT-000130,2026-03-31 22:49:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,12,5,7,Yes
TKT-000131,2026-02-11 12:23:00,"FC Road, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,19,15,4,No
TKT-000132,2026-05-04 19:24:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,16,5,11,Yes
TKT-000133,2026-06-28 21:37:00,"FC Road, Pune",Irani Chai & Bun Maska,4,30,120,480,120,360,13,5,8,Yes
TKT-000134,2026-03-04 21:04:00,"FC Road, Pune",Spicy Miso Ramen,3,180,450,1350,540,810,20,12,8,Yes
TKT-000135,2026-04-06 21:42:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,8,5,3,No
TKT-000136,2026-02-21 13:10:00,"Ravet, Pune",Premium Maharaja Thali,3,250,600,1800,750,1050,21,20,1,No
TKT-000137,2026-04-06 20:51:00,"Koregaon Park, Pune",Spicy Miso Ramen,2,180,450,900,360,540,14,12,2,No
TKT-000138,2026-05-12 21:24:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,21,12,9,Yes
TKT-000139,2026-05-31 12:11:00,"FC Road, Pune",Irani Chai & Bun Maska,3,30,120,360,90,270,7,5,2,No
TKT-000140,2026-05-23 19:28:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,18,5,13,Yes
TKT-000141,2026-06-20 22:22:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,22,15,7,Yes
TKT-000142,2026-01-29 20:12:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,22,15,7,Yes
TKT-000143,2026-02-05 19:09:00,"FC Road, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,29,15,14,Yes
TKT-000144,2026-01-13 18:10:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,9,5,4,No
TKT-000145,2026-06-09 21:28:00,"Ravet, Pune",Berry Iced Tea,2,40,180,360,80,280,8,5,3,No
TKT-000146,2026-03-12 22:29:00,"Ravet, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,9,5,4,No
TKT-000147,2026-03-27 20:06:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,21,15,6,Yes
TKT-000148,2026-01-28 20:10:00,"Ravet, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,22,15,7,Yes
TKT-000149,2026-03-07 21:23:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,28,15,13,Yes
TKT-000150,2026-06-19 13:57:00,"Viman Nagar, Pune",Berry Iced Tea,1,40,180,180,40,140,3,5,-2,No
TKT-000151,2026-02-14 21:54:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,23,20,3,No
TKT-000152,2026-03-03 21:20:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,26,15,11,Yes
TKT-000153,2026-05-14 20:10:00,"Ravet, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,29,15,14,Yes
TKT-000154,2026-01-28 22:35:00,"FC Road, Pune",Berry Iced Tea,3,40,180,540,120,420,11,5,6,Yes
TKT-000155,2026-01-28 19:01:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,16,5,11,Yes
TKT-000156,2026-04-18 22:19:00,"FC Road, Pune",Spicy Miso Ramen,3,180,450,1350,540,810,18,12,6,Yes
TKT-000157,2026-02-13 20:38:00,"Viman Nagar, Pune",Spicy Miso Ramen,2,180,450,900,360,540,25,12,13,Yes
TKT-000158,2026-03-25 19:45:00,"FC Road, Pune",Berry Iced Tea,1,40,180,180,40,140,16,5,11,Yes
TKT-000159,2026-01-30 19:23:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,26,20,6,Yes
TKT-000160,2026-03-16 22:18:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,11,5,6,Yes
TKT-000161,2026-05-08 20:39:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,19,15,4,No
TKT-000162,2026-04-02 14:14:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,8,5,3,No
TKT-000163,2026-05-09 22:53:00,"FC Road, Pune",Premium Maharaja Thali,1,250,600,600,250,350,34,20,14,Yes
TKT-000164,2026-05-01 19:09:00,"FC Road, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,21,15,6,Yes
TKT-000165,2026-01-27 22:54:00,"Ravet, Pune",Berry Iced Tea,1,40,180,180,40,140,13,5,8,Yes
TKT-000166,2026-05-01 22:39:00,"Viman Nagar, Pune",Berry Iced Tea,2,40,180,360,80,280,16,5,11,Yes
TKT-000167,2026-04-26 13:28:00,"FC Road, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,19,15,4,No
TKT-000168,2026-01-03 21:09:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,18,15,3,No
TKT-000169,2026-04-13 14:48:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,6,5,1,No
TKT-000170,2026-06-04 12:39:00,"FC Road, Pune",Premium Maharaja Thali,1,250,600,600,250,350,23,20,3,No
TKT-000171,2026-05-17 22:20:00,"FC Road, Pune",Premium Maharaja Thali,1,250,600,600,250,350,22,20,2,No
TKT-000172,2026-03-03 19:47:00,"Viman Nagar, Pune",Berry Iced Tea,1,40,180,180,40,140,14,5,9,Yes
TKT-000173,2026-06-14 14:00:00,"Ravet, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,7,5,2,No
TKT-000174,2026-02-20 20:14:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,24,20,4,No
TKT-000175,2026-06-21 21:13:00,"Viman Nagar, Pune",Premium Maharaja Thali,2,250,600,1200,500,700,27,20,7,Yes
TKT-000176,2026-06-01 22:33:00,"Viman Nagar, Pune",Premium Maharaja Thali,2,250,600,1200,500,700,22,20,2,No
TKT-000177,2026-02-28 21:36:00,"Koregaon Park, Pune",Spicy Miso Ramen,4,180,450,1800,720,1080,19,12,7,Yes
TKT-000178,2026-04-28 19:16:00,"FC Road, Pune",Spicy Miso Ramen,1,180,450,450,180,270,24,12,12,Yes
TKT-000179,2026-06-09 15:59:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,18,15,3,No
TKT-000180,2026-04-06 19:05:00,"Ravet, Pune",Premium Maharaja Thali,1,250,600,600,250,350,27,20,7,Yes
TKT-000181,2026-06-29 13:39:00,"Viman Nagar, Pune",Spicy Miso Ramen,3,180,450,1350,540,810,16,12,4,No
TKT-000182,2026-04-23 14:58:00,"Viman Nagar, Pune",Premium Maharaja Thali,1,250,600,600,250,350,23,20,3,No
TKT-000183,2026-03-03 15:15:00,"Viman Nagar, Pune",Premium Maharaja Thali,4,250,600,2400,1000,1400,20,20,0,No
TKT-000184,2026-02-21 22:55:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,26,15,11,Yes
TKT-000185,2026-01-12 22:30:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,7,5,2,No
TKT-000186,2026-02-08 19:36:00,"Ravet, Pune",Berry Iced Tea,2,40,180,360,80,280,12,5,7,Yes
TKT-000187,2026-05-10 22:24:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,28,20,8,Yes
TKT-000188,2026-05-11 21:39:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,27,15,12,Yes
TKT-000189,2026-04-23 21:35:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,20,12,8,Yes
TKT-000190,2026-04-11 22:17:00,"FC Road, Pune",Irani Chai & Bun Maska,2,30,120,240,60,180,10,5,5,No
TKT-000191,2026-04-23 20:59:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,20,15,5,No
TKT-000192,2026-03-22 13:22:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,20,20,0,No
TKT-000193,2026-04-23 21:33:00,"Koregaon Park, Pune",Berry Iced Tea,2,40,180,360,80,280,13,5,8,Yes
TKT-000194,2026-01-02 12:01:00,"Koregaon Park, Pune",Spicy Miso Ramen,2,180,450,900,360,540,10,12,-2,No
TKT-000195,2026-05-10 16:38:00,"FC Road, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,19,15,4,No
TKT-000196,2026-02-23 20:30:00,"Koregaon Park, Pune",Berry Iced Tea,1,40,180,180,40,140,15,5,10,Yes
TKT-000197,2026-03-28 20:55:00,"Ravet, Pune",Mutton Seekh Kebabs,3,140,350,1050,420,630,29,15,14,Yes
TKT-000198,2026-05-09 19:43:00,"Koregaon Park, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,18,5,13,Yes
TKT-000199,2026-05-27 20:22:00,"Koregaon Park, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,18,15,3,No
TKT-000200,2026-05-06 19:06:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,19,5,14,Yes
TKT-000201,2026-05-10 22:04:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,14,12,2,No
TKT-000202,2026-02-22 22:32:00,"Koregaon Park, Pune",Premium Maharaja Thali,1,250,600,600,250,350,29,20,9,Yes
TKT-000203,2026-06-21 21:45:00,"FC Road, Pune",Premium Maharaja Thali,1,250,600,600,250,350,34,20,14,Yes
TKT-000204,2026-06-09 19:07:00,"FC Road, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,17,5,12,Yes
TKT-000205,2026-06-09 20:43:00,"FC Road, Pune",Spicy Miso Ramen,3,180,450,1350,540,810,16,12,4,No
TKT-000206,2026-03-09 20:37:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,2,140,350,700,280,420,28,15,13,Yes
TKT-000207,2026-05-03 18:37:00,"Viman Nagar, Pune",Mutton Seekh Kebabs,1,140,350,350,140,210,18,15,3,No
TKT-000208,2026-05-25 19:12:00,"Koregaon Park, Pune",Spicy Miso Ramen,1,180,450,450,180,270,14,12,2,No
TKT-000209,2026-02-07 19:55:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,4,30,120,480,120,360,9,5,4,No
TKT-000210,2026-01-24 22:01:00,"Viman Nagar, Pune",Irani Chai & Bun Maska,1,30,120,120,30,90,13,5,8,Yes
